Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-01 00:00:00-04:00,26832.3203125,26966.0,26733.330078125,26922.119140625,342010000,0.0,0.0
2019-07-08 00:00:00-04:00,26835.640625,27333.7890625,26665.5703125,27332.029296875,1141300000,0.0,0.0
2019-07-15 00:00:00-04:00,27364.689453125,27398.6796875,27068.7890625,27154.19921875,1123420000,0.0,0.0
2019-07-22 00:00:00-04:00,27174.1796875,27368.810546875,27062.48046875,27192.44921875,1184550000,0.0,0.0
2019-07-29 00:00:00-04:00,27192.240234375,27281.650390625,26249.220703125,26485.009765625,1643210000,0.0,0.0
2019-08-05 00:00:00-04:00,26259.23046875,26413.359375,25440.390625,26287.439453125,1607980000,0.0,0.0
2019-08-12 00:00:00-04:00,26169.91015625,26426.970703125,25339.599609375,25886.009765625,1469350000,0.0,0.0
2019-08-19 00:00:00-04:00,26020.060546875,26388.779296875,25507.1796875,25628.900390625,1286600000,0.0,0.0
2019-08-26 00:00:00-04:00,25826.05078125,26514.619140625,25637.4296875,26403.279296875,1118190000,0.0,0.0
2019-09-02 00:00:00-04:00,26198.259765625,26860.869140625,25978.220703125,26797.4609375,892290000,0.0,0.0
2019-09-09 00:00:00-04:00,26866.23046875,27306.73046875,26717.05078125,27219.51953125,1373320000,0.0,0.0
2019-09-16 00:00:00-04:00,27146.060546875,27272.169921875,26899.150390625,26935.0703125,1367060000,0.0,0.0
2019-09-23 00:00:00-04:00,26851.44921875,27079.6796875,26704.9609375,26820.25,1190170000,0.0,0.0
2019-09-30 00:00:00-04:00,26852.330078125,27046.2109375,25743.4609375,26573.720703125,1255350000,0.0,0.0
2019-10-07 00:00:00-04:00,26502.330078125,27013.970703125,26139.80078125,26816.58984375,1129610000,0.0,0.0
2019-10-14 00:00:00-04:00,26766.4296875,27120.109375,26749.1796875,26770.19921875,1150300000,0.0,0.0
2019-10-21 00:00:00-04:00,26852.669921875,27015.369140625,26714.33984375,26958.060546875,1282420000,0.0,0.0
2019-10-28 00:00:00-04:00,27040.330078125,27347.4296875,26918.2890625,27347.359375,1336830000,0.0,0.0
2019-11-04 00:00:00-05:00,27402.060546875,27774.669921875,27402.060546875,27681.240234375,1277750000,0.0,0.0
2019-11-11 00:00:00-05:00,27580.66015625,28004.890625,27517.669921875,28004.890625,1282100000,0.0,0.0
2019-11-18 00:00:00-05:00,27993.220703125,28090.2109375,27675.279296875,27875.619140625,1203150000,0.0,0.0
2019-11-25 00:00:00-05:00,27917.76953125,28174.970703125,27917.76953125,28051.41015625,891310000,0.0,0.0
2019-12-02 00:00:00-05:00,28109.740234375,28109.83984375,27325.130859375,28015.060546875,1162070000,0.0,0.0
2019-12-09 00:00:00-05:00,27987.05078125,28290.73046875,27801.80078125,28135.380859375,1172160000,0.0,0.0
2019-12-16 00:00:00-05:00,28191.669921875,28608.640625,28191.669921875,28455.08984375,1729780000,0.0,0.0
2019-12-23 00:00:00-05:00,28491.779296875,28701.66015625,28491.779296875,28645.259765625,647930000,0.0,0.0
